(0, 0.5862689018249512)
(1, 0.3814659118652344)
(2, 0.7722973823547363)
(3, 0.7795243263244629)
(4, 1.878415822982788)
(5, 3.910813570022583)
(8, 2.821049928665161)
(6, 7.910942316055298)
(18, 2.2383968830108643)
(19, 1.793642282485962)
(11, 7.596278429031372)
(9, 9.147976636886597)
(10, 9.251917600631714)
(24, 3.4859964847564697)
(7, 12.30442214012146)
(12, 10.883098602294922)
(20, 7.080532073974609)
(14, 12.093671321868896)
(16, 12.674579381942749)
(25, 10.131601810455322)
(21, 15.193470478057861)
(29, 12.175383806228638)
(15, 20.320101499557495)
(41, 7.354236364364624)
(23, 19.979839086532593)
(26, 19.635626077651978)
(27, 21.606258869171143)
(13, 31.01294255256653)
(37, 20.299168348312378)
(39, 21.097044229507446)
(55, 13.503602743148804)
(59, 14.141573905944824)
(17, 36.0824294090271)
(44, 22.54415535926819)
(31, 30.850826740264893)
(33, 33.260942697525024)
(34, 33.05626058578491)
(70, 15.487773895263672)
(35, 33.7061128616333)
(36, 33.333829164505005)
(49, 27.44540500640869)
(77, 14.700563669204712)
(28, 39.71548080444336)
(54, 27.926592588424683)
(56, 27.456504583358765)
(42, 36.56267213821411)
(91, 13.967454671859741)
(22, 49.12728214263916)
(66, 32.27219367027283)
(51, 46.17639398574829)
(76, 34.71048927307129)
(84, 37.026830434799194)
(85, 36.82054805755615)
(61, 56.05994486808777)
(45, 67.11485314369202)
(63, 58.56455588340759)
(64, 59.10778832435608)
(32, 76.87194228172302)
(98, 48.189396142959595)
(69, 63.781981468200684)
(50, 76.62019085884094)
(72, 65.88250946998596)
(53, 83.1092758178711)
(81, 70.30799078941345)
(86, 71.92278146743774)
(57, 88.28259015083313)
(58, 88.36032915115356)
(87, 73.76184272766113)
(89, 74.76996636390686)
(90, 75.60716676712036)
(92, 76.29342293739319)
(95, 80.32603740692139)
(46, 105.75485181808472)
(48, 113.40612053871155)
(73, 101.8426570892334)
(38, 127.10478353500366)
(82, 108.30096960067749)
(83, 108.4878523349762)
(30, 136.5747537612915)
(43, 130.63965487480164)
(88, 107.98963665962219)
(60, 123.2812168598175)
(62, 123.34377789497375)
(67, 126.62871050834656)
(47, 140.4513123035431)
(74, 128.25345039367676)
(75, 128.1956205368042)
(93, 128.3914017677307)
(94, 128.70305609703064)
(68, 144.54571676254272)
(97, 130.6641583442688)
(71, 144.50779676437378)
(80, 143.20145225524902)
(78, 149.99991917610168)
(40, 173.234765291214)
(96, 147.30799174308777)
(65, 166.74223685264587)
(79, 159.687255859375)
(52, 181.52118396759033)
